final_place,PP,Horse,Jockey,Trainer,Odds,Win,Place,Show,year,race
1,10,Giacomo,Mike Smith,John Shirreffs,51.0,102.6,45.8,19.8,2005,Kentucky Derby
2,18,Closing Argument,Cornelio Velasquez,Kiaran McLaughlin,72.0,0.0,70.0,24.8,2005,Kentucky Derby
3,12,Afleet Alex,J Rose,Tim Ritchey,5.5,0.0,0.0,4.6,2005,Kentucky Derby
4,17,Don't Get Mad,T C Baze,Ronald Ellis,30.0,0.0,0.0,0.0,2005,Kentucky Derby
5,20,Buzzards Bay,Mark Guidry,Jeff Mullins,47.0,0.0,0.0,0.0,2005,Kentucky Derby
6,14,Wilko,Corey Nakatani,Craig Dollase,22.0,0.0,0.0,0.0,2005,Kentucky Derby
7,16,Bellamy Road,J J Castellano,Nick Zito,3.5,0.0,0.0,0.0,2005,Kentucky Derby
8,2,Andromeda's Hero,Rafael Bejarano,Nick Zito,58.0,0.0,0.0,0.0,2005,Kentucky Derby
9,7,Flower Alley,Jorge Chavez,Todd Pletcher,42.0,0.0,0.0,0.0,2005,Kentucky Derby
10,11,High Fly,J.D. Bailey,Nick Zito,8.0,0.0,0.0,0.0,2005,Kentucky Derby
11,9,Greeley's Galaxy,Kent Desormeaux,Warren Stute,22.0,0.0,0.0,0.0,2005,Kentucky Derby
12,5,Coin Silver,P A Valenzuela,Todd Pletcher,39.0,0.0,0.0,0.0,2005,Kentucky Derby
13,8,Greater Good,J. McKee,Robert Holthus,59.0,0.0,0.0,0.0,2005,Kentucky Derby
14,4,Noble Causeway,Gary Stevens,Nick Zito,13.0,0.0,0.0,0.0,2005,Kentucky Derby
15,3,Sun King,Edgar Prado,Nick Zito,16.0,0.0,0.0,0.0,2005,Kentucky Derby
16,13,Spanish Chestnut,Joe Bravo,Patrick Biancone,72.0,0.0,0.0,0.0,2005,Kentucky Derby
17,1,Sort it out,Brice Blanc,Bob Baffert,63.0,0.0,0.0,0.0,2005,Kentucky Derby
18,19,Going Wild,J Valdivia,D. Wayne Lukas,60.0,0.0,0.0,0.0,2005,Kentucky Derby
19,15,Bandini,J R Velazquez,Todd Pletcher,8.0,0.0,0.0,0.0,2005,Kentucky Derby
20,6,High Limit,Ramon Dominguez,Robert Frankel,23.0,0.0,0.0,0.0,2005,Kentucky Derby
1,8,Barbaro,Edgar Prado,Michael Matz,7.0,14.2,8.0,6.0,2006,Kentucky Derby
2,13,Bluegrass Cat,Ramon Dominguez,Todd Pletcher,31.0,0.0,28.4,15.4,2006,Kentucky Derby
3,2,Steppenwolfer,Robby Albarado,Danny Peitz,31.0,0.0,0.0,7.8,2006,Kentucky Derby
4,*1,Jazil,Fernando Jara,Kiaran McLaughlin,31.0,0.0,0.0,0.0,2006,Kentucky Derby
5,*18,Brother Derek,Alex Solis,Dan Hendricks,4.0,0.0,0.0,0.0,2006,Kentucky Derby
6,6,Showing Up,Cornelio Velasquez,Barclay Tagg,21.0,0.0,0.0,0.0,2006,Kentucky Derby
7,11,Sweetnorthernsaint,Kent Desormeaux,Michael Trombetta,11.0,0.0,0.0,0.0,2006,Kentucky Derby
8,14,Deputy Glitters,Jose Lezcano,Tom Albertrani,51.0,0.0,0.0,0.0,2006,Kentucky Derby
9,5,Point Determined,Rafael Bejarano,Bob Baffert,13.0,0.0,0.0,0.0,2006,Kentucky Derby
10,15,Seaside Retreat,Patrick Husbands,Mark Casse,51.0,0.0,0.0,0.0,2006,Kentucky Derby
11,19,Storm Treasure,David Flores,Steve Asmussen,51.0,0.0,0.0,0.0,2006,Kentucky Derby
12,17,Lawyer Ron,John McKee,Robert Holthus,5.0,0.0,0.0,0.0,2006,Kentucky Derby
13,16,Cause to Believe,Russell Baze,Jerry Hollendorfer,51.0,0.0,0.0,0.0,2006,Kentucky Derby
14,20,Flashy Bull,Mike Smith,Kiaran McLaughlin,51.0,0.0,0.0,0.0,2006,Kentucky Derby
15,12,Private Vow,Shaun Bridgmohan,Steve Asmussen,51.0,0.0,0.0,0.0,2006,Kentucky Derby
16,4,Sinister Minister,Victor Espinoza,Bob Baffert,13.0,0.0,0.0,0.0,2006,Kentucky Derby
17,7,Bob and John,Garrett Gomez,Bob Baffert,13.0,0.0,0.0,0.0,2006,Kentucky Derby
18,10,A.P. Warrior,Corey Nakatani,John Shirreffs,16.0,0.0,0.0,0.0,2006,Kentucky Derby
19,9,Sharp Humor,Mark Guidry,Dale Romans,21.0,0.0,0.0,0.0,2006,Kentucky Derby
20,3,Keyed Entry,Pat Valenzuela,Todd Pletcher,31.0,0.0,0.0,0.0,2006,Kentucky Derby
1,7,Street Sense,Calvin Borel,Carl Nafzger,5.0,11.8,6.4,4.6,2007,Kentucky Derby
2,8,Hard Spun,Mario Pino,Larry Jones,16.0,0.0,9.8,7.0,2007,Kentucky Derby
3,2,Curlin,Robby Albarado,Steve Asmussen,4.5,0.0,0.0,5.6,2007,Kentucky Derby
4,5,Imawildandcrazyguy,Juan Leyva,William Kaplan,51.0,0.0,0.0,0.0,2007,Kentucky Derby
5,1,Sedgefield,Julien Leparoux,Darrin Miller,51.0,0.0,0.0,0.0,2007,Kentucky Derby
6,16,Circular Quay,John Velasquez,Todd Pletcher,9.0,0.0,0.0,0.0,2007,Kentucky Derby
7,15,Tiago,Mike Smith,John Shirreffs,16.0,0.0,0.0,0.0,2007,Kentucky Derby
8,18,Any Given Sunday,Garrett Gomez,Todd Pletcher,13.0,0.0,0.0,0.0,2007,Kentucky Derby
9,13,Sam P.,Ramon Dominguez,Todd Pletcher,21.0,0.0,0.0,0.0,2007,Kentucky Derby
10,12,Nobiz Like Shobiz,Cornelio Velasquez,Barclay Tagg,9.0,0.0,0.0,0.0,2007,Kentucky Derby
11,19,Dominican,Rafael Bejarano,Darrin Miller,21.0,0.0,0.0,0.0,2007,Kentucky Derby
12,3,Zanjero,Shaun Bridgmohan,Steve Asmussen,31.0,0.0,0.0,0.0,2007,Kentucky Derby
13,20,Great Hunter,Corey Nakatani,Doug O'Neill,16.0,0.0,0.0,0.0,2007,Kentucky Derby
14,9,Liquidity,David Flores,Doug O'Neill,31.0,0.0,0.0,0.0,2007,Kentucky Derby
15,11,Bwana Bull,Javier Castellano,Jerry Hollendorfer,51.0,0.0,0.0,0.0,2007,Kentucky Derby
16,4,Storm in May,Kent Desormeaux,William Kaplan,31.0,0.0,0.0,0.0,2007,Kentucky Derby
17,10,Teuflesberg,Stewart Elliot,Jamie Sanders,31.0,0.0,0.0,0.0,2007,Kentucky Derby
18,14,Scat Daddy,Edgar Prado,Todd Pletcher,11.0,0.0,0.0,0.0,2007,Kentucky Derby
19,17,Stormello,Kent Desormeaux,William Currin,31.0,0.0,0.0,0.0,2007,Kentucky Derby
20,6,Cowtown Cat,Fernando Jara,Todd Pletcher,21.0,0.0,0.0,0.0,2007,Kentucky Derby
1,20,Big Brown,Kent Desormeaux,"Richard Dutrow, Jr.",4.5,6.8,5.0,4.8,2008,Kentucky Derby
2,5,Eight Belles,Gabriel Saez,Larry Jones,9.0,0.0,10.6,6.4,2008,Kentucky Derby
3,16,Denis of Cork,Calvin Borel,David Carroll,28.0,0.0,0.0,11.6,2008,Kentucky Derby
4,4,Tale of Ekati,Eibar Coa,Barclay Tagg,46.0,0.0,0.0,0.0,2008,Kentucky Derby
5,5,Recapturetheglory,E. T. Baird,Louie J. Roussel III,48.0,0.0,0.0,0.0,2008,Kentucky Derby
6,6,Colonel John,Corey Nakatani,Eoin Harty,5.0,0.0,0.0,0.0,2008,Kentucky Derby
7,7,Anak Nakal,Rafael Bejarano,Nick Zito,58.0,0.0,0.0,0.0,2008,Kentucky Derby
8,8,Pyro,Shaun Bridgmohan,Steve Asmussen,6.0,0.0,0.0,0.0,2008,Kentucky Derby
9,9,Cowboy Cal,John Velazquez,Todd Pletcher,43.0,0.0,0.0,0.0,2008,Kentucky Derby
10,10,Z Fortune,Robby Albarado,Steve Asmussen,18.0,0.0,0.0,0.0,2008,Kentucky Derby
11,11,Smooth Air,Manoel Cruz,Bennie Stutts Jr.,41.0,0.0,0.0,0.0,2008,Kentucky Derby
12,12,Visionaire,Jose Lezcano,Michael Matz,23.0,0.0,0.0,0.0,2008,Kentucky Derby
13,13,Court Vision,Garrett Gomez,Bill Mott,15.0,0.0,0.0,0.0,2008,Kentucky Derby
14,14,Z Humor,Rene Douglas,Bill Mott,68.0,0.0,0.0,0.0,2008,Kentucky Derby
15,15,Cool Coal Man,Julien Leparoux,Nick Zito,37.0,0.0,0.0,0.0,2008,Kentucky Derby
16,16,Bob Black Jack,Richard Migliore,James Kasparoff,27.0,0.0,0.0,0.0,2008,Kentucky Derby
17,17,Gayego,Mike Smith,Paulo Lobo,22.0,0.0,0.0,0.0,2008,Kentucky Derby
18,18,Big Truck,Elbar Coa,Barclay Tagg,21.0,0.0,0.0,0.0,2008,Kentucky Derby
19,19,Adriano,Edgar Prado,Graham Motion,25.0,0.0,0.0,0.0,2008,Kentucky Derby
20,20,Monba,Ramon Dominguez,Todd Pletcher,31.0,0.0,0.0,0.0,2008,Kentucky Derby
1,8,Mine that Bird,Calvin Borel,Bennie Wooley Jr.,51.0,103.2,54.0,25.8,2009,Kentucky Derby
2,16,Pioneerof theNile,Garrett Gomez,Bob Baffert,5.0,0.0,8.4,6.4,2009,Kentucky Derby
3,2,Musket Man,Eibar Coa,Derek Ryan,21.0,0.0,0.0,12.0,2009,Kentucky Derby
4,7,Papa Clem,Rafael Bejarano,Gary Stute,21.0,0.0,0.0,0.0,2009,Kentucky Derby
5,11,Chocolate Candy,Mike Smith,Jerry Hollendorfer,21.0,0.0,0.0,0.0,2009,Kentucky Derby
6,17,Summer Bird,Chris Rosier,Tim Ice,51.0,0.0,0.0,0.0,2009,Kentucky Derby
7,9,Join in the Dance,Chris DeCarlo,Todd Pletcher,51.0,0.0,0.0,0.0,2009,Kentucky Derby
8,10,Regal Ransom,Alan Garcia,Saeed bin Suroor,31.0,0.0,0.0,0.0,2009,Kentucky Derby
9,1,West Side Bernie,Stewart Elliot,Kelly Breen,31.0,0.0,0.0,0.0,2009,Kentucky Derby
10,12,General Quarters,Julien Leparoux,Thomas R. McCarthy,21.0,0.0,0.0,0.0,2009,Kentucky Derby
11,15,Dunkirk,Edgar Prado,Todd Pletcher,5.0,0.0,0.0,0.0,2009,Kentucky Derby
12,5,Hold Me Back,Kent Desormeaux,Bill Mott,16.0,0.0,0.0,0.0,2009,Kentucky Derby
13,4,Advice,Rene Douglas,Todd Pletcher,31.0,0.0,0.0,0.0,2009,Kentucky Derby
14,19,Desert Party,Ramon Dominguez,Saeed bin Suroor,16.0,0.0,0.0,0.0,2009,Kentucky Derby
15,3,Mr. Hot Stuff,John Velazquez,Eoin Harty,31.0,0.0,0.0,0.0,2009,Kentucky Derby
16,14,Atomic Rain,Joe Bravo,Kelly Breen,51.0,0.0,0.0,0.0,2009,Kentucky Derby
17,18,Nowhere to Hide,Shaun Bridgmohan,Nick Zito,51.0,0.0,0.0,0.0,2009,Kentucky Derby
18,6,Friesan Fire,Gabriel Saez,Larry Jones,6.0,0.0,0.0,0.0,2009,Kentucky Derby
19,20,Flying Private,Robby Albarado,D. Wayne Lukas,51.0,0.0,0.0,0.0,2009,Kentucky Derby
1,4,Super Saver,Calvin Borel,Todd Pletcher,9.0,18.0,8.8,6.6,2010,Kentucky Derby
2,2,Ice Box,Jose Lezcano,Nick Zito,12.0,0.0,11.2,8.0,2010,Kentucky Derby
3,10,Paddy O'Prado,Kent Desormeaux,Dale Romans,13.0,0.0,0.0,7.4,2010,Kentucky Derby
4,9,Make Music for Me,Joel Rosario,Alexis Barba,31.0,0.0,0.0,0.0,2010,Kentucky Derby
5,3,Noble's Promise,Willie Martinez,Kenny McPeek,25.0,0.0,0.0,0.0,2010,Kentucky Derby
6,1,Lookin At Lucky,Garrett Gomez,Bob Baffert,7.0,0.0,0.0,0.0,2010,Kentucky Derby
7,17,Dublin,Terry Thompson,D. Wayne Lukas,21.0,0.0,0.0,0.0,2010,Kentucky Derby
8,6,Statley Victor,Alan Garcia,Mike Maker,21.0,0.0,0.0,0.0,2010,Kentucky Derby
9,14,Mission Impazible,Rajiv Maragh,Todd Pletcher,17.0,0.0,0.0,0.0,2010,Kentucky Derby
10,11,Devil May Care,John Velazquez,Todd Pletcher,11.0,0.0,0.0,0.0,2010,Kentucky Derby
11,7,American Lion,David Flores,Eoin Harty,24.0,0.0,0.0,0.0,2010,Kentucky Derby
12,13,Jackson Bend,Mike Smith,Nick Zito,24.0,0.0,0.0,0.0,2010,Kentucky Derby
13,15,Discreetly Mine,Javier Castellano,Todd Pletcher,32.0,0.0,0.0,0.0,2010,Kentucky Derby
14,8,Dean's Kitten,Robby Albarado,Michael Maker,26.0,0.0,0.0,0.0,2010,Kentucky Derby
15,12,Conveyance,Martin Garcia,Bob Baffert,28.0,0.0,0.0,0.0,2010,Kentucky Derby
16,19,Homeboykris,Ramon Dominguez,"Richard Dutrow, Jr.",28.0,0.0,0.0,0.0,2010,Kentucky Derby
17,20,Sidney's Candy,Joe Talamo,John Sadler,10.0,0.0,0.0,0.0,2010,Kentucky Derby
18,5,Line of David,Rafael Bejarano,John Sadler,20.0,0.0,0.0,0.0,2010,Kentucky Derby
19,16,Awesome Act,Julien Leparoux,Jeremy Noseda,12.0,0.0,0.0,0.0,2010,Kentucky Derby
20,18,Backtalk,Miguel Mena,Tom Amoss,24.0,0.0,0.0,0.0,2010,Kentucky Derby
1,16,Animal Kingdom,John Velazquez,Graham Motion,21.0,43.8,19.6,13.0,2011,Kentucky Derby
2,19,Nehro,Cory Nakatani,Steve Asmussen,10.0,0.0,8.8,6.4,2011,Kentucky Derby
3,13,Mucho Macho Man,Rajiv Maragh,Kathy Ritvo,10.0,0.0,0.0,7.0,2011,Kentucky Derby
4,14,Shackleford,Jesus Castanon,Dale Romans,24.0,0.0,0.0,0.0,2011,Kentucky Derby
5,11,Master of Hounds,Garret Gomez,Aidan O'Brien,17.0,0.0,0.0,0.0,2011,Kentucky Derby
6,12,Santiva,Shaun Bridgmohan,Eddie Kenneally,34.0,0.0,0.0,0.0,2011,Kentucky Derby
7,2,Brilliant Speed,Joel Roasario,Tom Albertrani,28.0,0.0,0.0,0.0,2011,Kentucky Derby
8,8,Dialed In,Julien Leparoux,Nick Zito,6.0,0.0,0.0,0.0,2011,Kentucky Derby
9,7,Pants on Fire,Rosie Napravnik,Kelly Breen,8.0,0.0,0.0,0.0,2011,Kentucky Derby
10,3,Twice the Appeal,Calvin Borel,J. Bonde,12.0,0.0,0.0,0.0,2011,Kentucky Derby
11,17,Soldat,Alan Garcia,Kiaran McLaughlin,15.0,0.0,0.0,0.0,2011,Kentucky Derby
12,4,Stay Thirsty,Ramon Dominguez,Todd Pletcher,17.0,0.0,0.0,0.0,2011,Kentucky Derby
13,9,Derby Kitten,Jose Castellano,Ken Ramsey,36.0,0.0,0.0,0.0,2011,Kentucky Derby
14,5,Decisive Moment,Kirwin Clark,Juan Arias,39.0,0.0,0.0,0.0,2011,Kentucky Derby
15,1,Archarcharch,John Court,Jinks Fires,14.0,0.0,0.0,0.0,2011,Kentucky Derby
16,15,Midnight Interlude,Victor Espinoza,Bob Baffert,10.0,0.0,0.0,0.0,2011,Kentucky Derby
17,10,Twinspired,Mike Smith,Mike Maker,32.0,0.0,0.0,0.0,2011,Kentucky Derby
18,20,Watch Me Go,Rafael Bejarano,Kathleen O'Connell,33.0,0.0,0.0,0.0,2011,Kentucky Derby
19,6,Comma to the Top,Pat Valenzuela,Peter Miller,35.0,0.0,0.0,0.0,2011,Kentucky Derby
20,18,Uncle Mo,John Velazquez,Todd Pletcher,,0.0,0.0,0.0,2011,Kentucky Derby
1,19,I'll Have Another,Mario Gutierrez,Doug O'Neill,16.0,32.6,19.8,9.6,2012,Kentucky Derby
2,6,Bodemeister,Mike Smith,Bob Baffert,5.0,0.0,6.2,5.6,2012,Kentucky Derby
3,5,Dullahan,Kent Desormeaux,Dale Romans,13.0,0.0,0.0,7.2,2012,Kentucky Derby
4,13,Went The Day Well,John Velazquez,H. Graham Motion,31.0,0.0,0.0,0.0,2012,Kentucky Derby
5,8,Creative Cause,Joel Rosario,Mike Harrington,13.0,0.0,0.0,0.0,2012,Kentucky Derby
6,20,Liaison,Martin Garcia,Bob Baffert,57.0,0.0,0.0,0.0,2012,Kentucky Derby
7,4,Union Rags,Julien Leparoux,Michael Matz,6.0,0.0,0.0,0.0,2012,Kentucky Derby
8,7,Rousing Sermon,Jose Lezcano,Jerry Hollendorfer,41.0,0.0,0.0,0.0,2012,Kentucky Derby
9,14,Hansen,Ramon Dominguez,Mike Maker,14.0,0.0,0.0,0.0,2012,Kentucky Derby
10,10,Daddy Nose Best,Garrett Gomez,Steve Asmussen,15.0,0.0,0.0,0.0,2012,Kentucky Derby
11,2,Optimizer,Jon Court,D. Wayne Lukas,43.0,0.0,0.0,0.0,2012,Kentucky Derby
12,11,Alpha,Alan Garcia,Kiaran McLaughlin,20.0,0.0,0.0,0.0,2012,Kentucky Derby
13,16,El Padrino,Rafael Bejarano,Todd Pletcher,8.25,0.0,0.0,0.0,2012,Kentucky Derby
14,17,Done Talking,Sheldon Russell,Hamilton Smith,40.0,0.0,0.0,0.0,2012,Kentucky Derby
15,18,Sabercat,Corey Nakatani,Steve Asmussen,38.0,0.0,0.0,0.0,2012,Kentucky Derby
16,15,Gemologist,Javier Castellano,Todd Pletcher,9.0,0.0,0.0,0.0,2012,Kentucky Derby
17,9,Trinniberg,Willie Martinez,Bisnath Parboo,45.0,0.0,0.0,0.0,2012,Kentucky Derby
18,12,Prospective,Luis Contreras,Mark Casse,58.0,0.0,0.0,0.0,2012,Kentucky Derby
19,3,Take Charge Indy,Calvin Borel,Patrick Byrne,13.0,0.0,0.0,0.0,2012,Kentucky Derby
20,1,Daddy Long Legs,Colm O'Donoghue,Aidan O'Brien,27.0,0.0,0.0,0.0,2012,Kentucky Derby
1,16,Orb,Joel Rosario,Shug McGaughey,7.0,12.8,7.4,5.4,2013,Kentucky Derby
2,4,Golden Soul,Robby Albarado,Dallas Stewart,51.0,0.0,38.6,19.4,2013,Kentucky Derby
3,3,Revolutionary,Calvin Borel,Todd Pletcher,7.0,0.0,0.0,5.4,2013,Kentucky Derby
4,5,Normandy Invasion,Javier Castellano,Chad Brown,9.0,0.0,0.0,0.0,2013,Kentucky Derby
5,6,Mylute,Rosie Napravnik,Tom Amoss,15.0,0.0,0.0,0.0,2013,Kentucky Derby
6,2,Oxbow,Gary Stevens,D. Wayne Lukas,24.0,0.0,0.0,0.0,2013,Kentucky Derby
7,11,Lines of Battle,Ryan Moore,Aidan O'Brien,33.0,0.0,0.0,0.0,2013,Kentucky Derby
8,17,Will Take Charge,Jon Court,D. Wayne Lukas,35.0,0.0,0.0,0.0,2013,Kentucky Derby
9,15,Charming Kitten,Edgar Pradio,Todd Pletcher,32.0,0.0,0.0,0.0,2013,Kentucky Derby
10,7,Giant Finish,Jose Espinoza,Tony Dutrow,37.0,0.0,0.0,0.0,2013,Kentucky Derby
11,9,Overanalyze,Rafael Bejarano,Todd Pletcher,16.0,0.0,0.0,0.0,2013,Kentucky Derby
12,10,Palace Malice,Mike Smith,Todd Pletcher,23.0,0.0,0.0,0.0,2013,Kentucky Derby
13,19,Java's War,Julien Leparoux,Kenny McPeek,27.0,0.0,0.0,0.0,2013,Kentucky Derby
14,14,Verrazano,John Velazquez,Todd Pletcher,9.0,0.0,0.0,0.0,2013,Kentucky Derby
15,12,Itsmyluckyday,Elvis Trujillo,Eddie Plesa Jr.,9.0,0.0,0.0,0.0,2013,Kentucky Derby
16,18,Frac Daddy,Victor Lebron,Kenny McPeek,24.0,0.0,0.0,0.0,2013,Kentucky Derby
17,8,Goldencents,Kevin Krigger,Doug O'Neill,8.0,0.0,0.0,0.0,2013,Kentucky Derby
18,20,Vyjack,Garrett Gomez,Rudy Rodriguez,26.0,0.0,0.0,0.0,2013,Kentucky Derby
19,13,Falling Sky,Luis Saez,John Terranova II,38.0,0.0,0.0,0.0,2013,Kentucky Derby
20,1,Black Onyx,Joe Bravo,Kelly Breen,,0.0,0.0,0.0,2013,Kentucky Derby
1,5,California Chrome,Victor Espinoza, Art Sherman,3.5,7.0,5.6,4.2,2014,Kentucky Derby
2,17,Commanding Curve,Shaun Bridgmohan, Dallas Stewart,38.0,0.0,31.8,15.4,2014,Kentucky Derby
3,4,Danza,Joe Bravo, Todd Pletcher,9.0,0.0,0.0,6.0,2014,Kentucky Derby
4,20,Wicked Strong,Rajiv Maragh, Steve Asmussen,7.0,0.0,0.0,0.0,2014,Kentucky Derby
5,6,Samraat,Jose Ortiz, Rick Violette Jr.,17.0,0.0,0.0,0.0,2014,Kentucky Derby
6,12,Dance With Fate,Corey Nakatani, Peter Eurton,17.0,0.0,0.0,0.0,2014,Kentucky Derby
7,19,Ride On Curlin,Calvin Borel, William G. Gowan,18.0,0.0,0.0,0.0,2014,Kentucky Derby
8,14,Medal Count,Robby Albarado, Dale Romans,27.0,0.0,0.0,0.0,2014,Kentucky Derby
9,13,Chitu,Martin Garcia, Bob Baffert,26.0,0.0,0.0,0.0,2014,Kentucky Derby
10,7,We Miss Artie,Javier Castellano, Todd Pletcher,28.0,0.0,0.0,0.0,2014,Kentucky Derby
11,8,General A Rod,Joel Rosario, Mike Maker,31.0,0.0,0.0,0.0,2014,Kentucky Derby
12,16,Intense Holiday,John Velazquez, Todd Pletcher,15.0,0.0,0.0,0.0,2014,Kentucky Derby
13,18,Candy Boy,Gary Stevens, John Sadler,10.0,0.0,0.0,0.0,2014,Kentucky Derby
14,3,Uncle Sigh,Irad Ortiz Jr., Gary Contessa,31.0,0.0,0.0,0.0,2014,Kentucky Derby
15,15,Tapiture,Ricardo Santana Jr.	 ,Steve Asmussen,36.0,0.0,0.0,0.0,2014,Kentucky Derby
16,2,Harry's Holiday,Corey Lanerie, Mike Maker,45.0,0.0,0.0,0.0,2014,Kentucky Derby
17,9,Vinceremos,Joe Rocco Jr., Todd Pletcher,50.0,0.0,0.0,0.0,2014,Kentucky Derby
18,10,Wildcat Red,Luis Saez, Jose Garoffalo,19.0,0.0,0.0,0.0,2014,Kentucky Derby
19,1,Vicar's In Trouble,Rosie Napravnik, Mike Maker,21.0,0.0,0.0,0.0,2014,Kentucky Derby
20,11,Hoppertunity,Mike Smith, Bob Baffert,,0.0,0.0,0.0,2014,Kentucky Derby
1,18,American Pharoah,Victor Espinoza,Bob Baffert,3.5,7.8,5.8,4.2,2015,Kentucky Derby
2,10,Firing Line,Gary Stevens,Simon Callaghan,11.0,0.0,8.4,5.4,2015,Kentucky Derby
3,8,Dortmund,Martin Garcia,Bob Baffert,5.0,0.0,0.0,4.2,2015,Kentucky Derby
4,15,Frosted,Joel Rosario,Kiaran McLaughlin,11.0,0.0,0.0,0.0,2015,Kentucky Derby
5,5,Danzig Moon,Julien Leparoux,Mark Casse,24.0,0.0,0.0,0.0,2015,Kentucky Derby
6,3,Materiality,Javier Castellano,Todd Pletcher,,0.0,0.0,0.0,2015,Kentucky Derby
7,14,Keen Ice,Kent Desormeaux,Dale Romans,47.0,0.0,0.0,0.0,2015,Kentucky Derby
8,6,Mubtaahij,Christophe Soumillon,Mike de Kock,15.0,0.0,0.0,0.0,2015,Kentucky Derby
9,13,Itsaknockout,Luis Saez,Todd Pletcher,32.0,0.0,0.0,0.0,2015,Kentucky Derby
10,2,Carpe Diem,John Velazquez,Todd Pletcher,9.0,0.0,0.0,0.0,2015,Kentucky Derby
11,21,Frammento,Corey Nakatani,Nick Zito,71.0,0.0,0.0,0.0,2015,Kentucky Derby
12,9,Bolo,Rafael Bejarano,Carla Gaines,31.0,0.0,0.0,0.0,2015,Kentucky Derby
13,17,Mr. Z,Ramon Vazquez,D Wayne Lukas,38.0,0.0,0.0,0.0,2015,Kentucky Derby
14,1,Ocho Ocho Ocho,Elvis Trujillo,Jim Cassidy,27.0,0.0,0.0,0.0,2015,Kentucky Derby
15,20,Far Right,Mike Smith,Ron Moquett,40.0,0.0,0.0,0.0,2015,Kentucky Derby
16,16,War Story,Joe Talamo,Tom Amoss,46.0,0.0,0.0,0.0,2015,Kentucky Derby
17,4,Tencendur,Manny Franco,George Weaver,53.0,0.0,0.0,0.0,2015,Kentucky Derby
18,19,Upstart,Jose Ortiz,"Rick Violette, Jr.",17.0,0.0,0.0,0.0,2015,Kentucky Derby
19,11,Stanford,Florent Geroux,Todd Pletcher,,0.0,0.0,0.0,2015,Kentucky Derby
20,12,International Star,Miguel Mena,Mike Maker,,0.0,0.0,0.0,2015,Kentucky Derby
21,7,El Kabeir,Calvin Borel,"John Terranova, III",,0.0,0.0,0.0,2015,Kentucky Derby
1,13,Nyquist,Mario Gutierrez,Doug F. O'Neill,3.0,6.6,4.8,3.6,2016,Kentucky Derby
2,11,Exaggerator,Kent J. Desormeaux,J. Keith Desormeaux,6.0,0.0,5.4,4.2,2016,Kentucky Derby
3,5,Gun Runner,Florent Geroux,Steven M. Asmussen,11.0,0.0,0.0,6.0,2016,Kentucky Derby
4,14,Mohaymen,Junior Alvarado,Kiaran P. McLaughlin,13.0,0.0,0.0,0.0,2016,Kentucky Derby
5,2,Suddenbreakingnews,Luis S. Quinonez,Donnie K. Von Hemel,25.0,0.0,0.0,0.0,2016,Kentucky Derby
6,9,Destin,Javier Castellano,Todd Pletcher,21.0,0.0,0.0,0.0,2016,Kentucky Derby
7,19,Brody's Cause,Luis Saez,Dale L. Romans,25.0,0.0,0.0,0.0,2016,Kentucky Derby
8,4,Mo Tom,Corey J. Lanerie,Thomas M. Amoss,26.0,0.0,0.0,0.0,2016,Kentucky Derby
9,8,Lani,Yutaka Take,Mikio Matsunaga,30.0,0.0,0.0,0.0,2016,Kentucky Derby
10,17,Mor Spirit,Gary L. Stevens,Bob Baffert,13.0,0.0,0.0,0.0,2016,Kentucky Derby
11,6,My Man Sam,Julien R. Leparoux,Chad C. Brown,20.0,0.0,0.0,0.0,2016,Kentucky Derby
12,12,Tom's Ready,"Brian Joseph Hernandez, Jr.",Dallas Stewart,49.0,0.0,0.0,0.0,2016,Kentucky Derby
13,3,Creator,"Ricardo Santana, Jr.",Steven M. Asmussen,17.0,0.0,0.0,0.0,2016,Kentucky Derby
14,15,Outwork,John R. Velazquez,Todd Pletcher,27.0,0.0,0.0,0.0,2016,Kentucky Derby
15,20,Danzing Candy,Mike Smith,"Clifford W. Sise, Jr.",27.0,0.0,0.0,0.0,2016,Kentucky Derby
16,1,Trojan Nation,Aaron T. Gryder,Patrick Gallagher,42.0,0.0,0.0,0.0,2016,Kentucky Derby
17,7,Oscar Nominated,Robby Albarado,Michael J. Maker,42.0,0.0,0.0,0.0,2016,Kentucky Derby
18,18,Majesto,Javier Castellano,Gustavo Delgado,57.0,0.0,0.0,0.0,2016,Kentucky Derby
19,10,Whitmore,Victor Espinoza,Ron Moquett,31.0,0.0,0.0,0.0,2016,Kentucky Derby
20,16,Shagaf,"Irad Ortiz, Jr.",Chad Brown,56.0,0.0,0.0,0.0,2016,Kentucky Derby
1,5,Always Dreaming,John R. Velazquez,Todd A. Pletcher,5.5,11.4,7.2,5.8,2017,Kentucky Derby
2,1,Lookin At Lee,Corey J. Lanerie,Steven M. Asmussen,34.0,0.0,26.6,15.2,2017,Kentucky Derby
3,11,Battle of Midway,Flavien Prat,Jerry Hollendorfer,41.0,0.0,0.0,20.8,2017,Kentucky Derby
4,14,Classic Empire,Julien R. Leparoux,Mark E. Casse,7.0,0.0,0.0,0.0,2017,Kentucky Derby
5,19,Practical Joke,Joel Rosario,Chad C. Brown,28.0,0.0,0.0,0.0,2017,Kentucky Derby
6,16,Tapwrit,Jose L. Ortiz,Todd A. Pletcher,28.0,0.0,0.0,0.0,2017,Kentucky Derby
